popularity,duration_ms,explicit,danceability,key,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,genre
-1.4574946,1.0918474,-0.29269093,-0.20535384,0.47103408,0.7485982,-0.30808395,1.7114475,1.846898,-0.21036352,1.5650933,-1.1669283,0.25409395,classical
-1.4574946,0.50138813,-0.29269093,-2.0917432,-1.4756736,-1.33583,-0.38154086,0.62060094,0.5550543,0.1762861,-1.05632,-1.075982,-1.9200785,classical
-1.4574946,-0.6231669,-0.29269093,-1.4917741,0.47103408,0.7485982,-0.30808395,1.6618634,2.1676316,-0.583539,0.3834407,-0.8867183,-1.9200785,classical
-1.4574946,1.5936793,-0.29269093,-0.28102562,-1.1975725,0.7485982,-0.45762125,1.5654502,-0.059685107,-0.3685384,0.056772444,0.5333481,-1.9200785,classical
-1.4574946,-0.29147676,-0.29269093,-2.2322764,0.47103408,0.7485982,-0.47205028,1.6150342,2.2181175,-0.19278859,-1.0361552,-0.61862576,0.25409395,classical
1.4401836,0.52833015,-0.29269093,-0.5620923,-0.9194713,0.7485982,-0.46549162,1.5571864,2.3161194,-0.72765386,-1.5322073,-0.8942578,0.25409395,classical
0.3764789,-0.344517,-0.29269093,-0.57290256,-0.9194713,0.7485982,-0.59010595,1.3147761,2.0339925,-0.6966047,-0.9716281,-0.6411098,0.25409395,classical
-1.4574946,-0.015247128,-0.29269093,-1.189087,-0.36326918,-1.33583,-0.4838558,1.714202,2.2893918,-0.5688932,-1.2966833,-1.7640023,0.25409395,classical
-1.4574946,3.176959,-0.29269093,-1.6214973,-0.9194713,0.7485982,-0.4615564,1.4965837,1.9656882,-0.75518805,-1.4023464,-0.73491687,0.25409395,classical
-1.4574946,-1.5365307,-0.29269093,-1.6485227,-1.4756736,0.7485982,-0.36055318,1.7224661,2.1409037,-0.6040431,-1.4523549,-1.7785429,0.25409395,classical
-1.4574946,-0.9690683,-0.29269093,-0.87558967,-1.1975725,0.7485982,-0.45237428,1.714202,2.0844784,0.09426944,0.20599136,0.16683678,0.25409395,classical
-1.4208152,1.2513233,-0.29269093,-1.6647382,0.192933,-1.33583,-0.42613968,1.6921648,-0.5374564,-0.4388383,-1.1652093,-0.54979324,0.25409395,classical
-1.4574946,-0.004033627,-0.29269093,-1.8377023,0.7491352,0.7485982,-0.4995966,1.705938,2.18545,-0.7346839,-0.84660685,-1.521928,0.25409395,classical
